;id_reference;type_reference;designation;programme;code_filiere;coeff_avion;magasin;livrable;constituant;famille_code_filiere;norm_mat_inge;norm_mat_fab;indice_manufacturing;avion_impacte_pp;priorite_pp;indice_client_pp;classe_piece_ref_pp;procedes_speciaux_ind;cms_mat_pp;fournisseur_cmde;supplier_cmde;rang_appro;type_cycle;quantite_commande;cycle_negocie;quantite_receptionnee;etat_reference;etat_reference.1;supplier_achat;fournisseur_achat;indice_client.1;autonomie_matiere;autonomie_quincaillerie;quantite_FAI;type_cycle.1;cycle_fil_rouge_1ere_commande;cycle_fil_rouge_recommande;NRC_fil_rouge_total;RC_fil_rouge;cycle_standard_1ere_commande;cycle_standard_recommande;NRC_standard_total;RC_standard;devise;lag_time;date_reception_OMP_new;date_besoin_client_new;date_transmission_proc_new;date_emission_commande_new;date_livraison_contractuelle_new;date_livraison_previsionnelle_S_new;date_reception_effective_new;date_livraison_contractuelle_initiale_new;date_liberation_new;date_affectation_new;total_cycle_duration_new
0;15038;PE;FITTING REAR BULKHEAD, STGR 19;programme_2;code_filiere_14;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;C.4;P2_MSN1;P0;C;2.0;-;B0BAMS516003K6-02;fournisseur_9;supplier_9;1;Speedshop;5;20.0;5;Stock Available;Stock disponible;supplier_9;fournisseur_9;C00;False;False;5.0;Speedshop;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;devise_2;-84;1389744000000000000;1390867200000000000;1390348800000000000;1391472000000000000;1393891200000000000;1393977600000000000;1393977600000000000;1393891200000000000;1398124800000000000;1391126400000000000;8380800.0
1;15038;PE;FITTING REAR BULKHEAD, STGR 19;programme_2;code_filiere_14;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;C.4;P2_MSN1;P0;C;2.0;-;B0BAMS516003K6-02;fournisseur_9;supplier_9;1;Speedshop;5;20.0;5;Stock Available;Stock disponible;supplier_9;fournisseur_9;C00;False;False;5.0;Speedshop;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;devise_2;-84;1389744000000000000;1390867200000000000;1390348800000000000;1395273600000000000;1397088000000000000;1396569600000000000;1397433600000000000;1396310400000000000;1398124800000000000;1391126400000000000;8380800.0
2;15039;PE;FITTING REAR BULKHEAD, STGR 19;programme_2;code_filiere_14;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;C.4;P2_MSN1;P0;C;2.0;-;B0BAMS516003K6-02;fournisseur_9;supplier_9;1;Speedshop;5;20.0;5;Stock Available;Stock disponible;supplier_9;fournisseur_9;C00;False;False;5.0;Speedshop;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;devise_2;-90;1389744000000000000;1390867200000000000;1390348800000000000;1391472000000000000;1393891200000000000;1394064000000000000;1394064000000000000;1393891200000000000;1398643200000000000;1391126400000000000;8899200.0
3;15039;PE;FITTING REAR BULKHEAD, STGR 19;programme_2;code_filiere_14;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;C.4;P2_MSN1;P0;C;2.0;-;B0BAMS516003K6-02;fournisseur_9;supplier_9;1;Speedshop;5;20.0;5;Stock Available;Stock disponible;supplier_9;fournisseur_9;C00;False;False;5.0;Speedshop;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;devise_2;-90;1389744000000000000;1390867200000000000;1390348800000000000;1395273600000000000;1397088000000000000;1396569600000000000;1398211200000000000;1396310400000000000;1398643200000000000;1391126400000000000;8899200.0
4;15042;PE;FRAME FS813 36, AFT LOWER PANEL;programme_2;code_filiere_6;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;A9;P2_MSN1;P0;C;2.0;144-005;B0BAMS516003K4-09;fournisseur_12;supplier_12;1;Speedshop;2;25.0;1;Stock Available;Stock disponible;supplier_12;fournisseur_12;C00;False;False;2.0;Speedshop;25.0;30.0;0.128320287;0.071348272;50.0;60.0;0.128320287;0.029063035;devise_2;-54;1397174400000000000;1398297600000000000;1397606400000000000;1399593600000000000;1401235200000000000;1402704000000000000;1402876800000000000;1401235200000000000;1402963200000000000;1397779200000000000;5788800.0
5;15042;PE;FRAME FS813 36, AFT LOWER PANEL;programme_2;code_filiere_6;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;A9;P2_MSN1;P0;C;2.0;144-005;B0BAMS516003K4-09;fournisseur_12;supplier_12;2;Speedshop;1;25.0;1;Stock Available;Stock disponible;supplier_20;fournisseur_20;C00;False;False;2.0;Speedshop;30.0;30.0;0.126165261;0.018536847;60.0;60.0;0.126165261;0.018536847;devise_2;-154;1397174400000000000;1398297600000000000;1397606400000000000;1399593600000000000;1410739200000000000;1411689600000000000;1411516800000000000;1401235200000000000;1411603200000000000;1397779200000000000;14428800.0
6;15042;PE;FRAME FS813 36, AFT LOWER PANEL;programme_2;code_filiere_6;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;A9;P2_MSN1;P0;C;2.0;144-005;B0BAMS516003K4-09;fournisseur_12;supplier_12;1;Speedshop;2;25.0;1;Stock Available;Stock disponible;supplier_20;fournisseur_20;C00;False;False;2.0;Speedshop;30.0;30.0;0.126165261;0.018536847;60.0;60.0;0.126165261;0.018536847;devise_2;-54;1397174400000000000;1398297600000000000;1397606400000000000;1399593600000000000;1401235200000000000;1402704000000000000;1402876800000000000;1401235200000000000;1402963200000000000;1397779200000000000;5788800.0
7;15042;PE;FRAME FS813 36, AFT LOWER PANEL;programme_2;code_filiere_6;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;A9;P2_MSN1;P0;C;2.0;144-005;B0BAMS516003K4-09;fournisseur_20;supplier_20;1;Speedshop;2;48.1282840237;2;Stock Available;Stock disponible;supplier_20;fournisseur_20;C00;False;False;2.0;Speedshop;30.0;30.0;0.126165261;0.018536847;60.0;60.0;0.126165261;0.018536847;devise_2;-42;1397174400000000000;1398297600000000000;1397606400000000000;1399593600000000000;1401408000000000000;1401235200000000000;1401408000000000000;1401408000000000000;1401926400000000000;1397779200000000000;4752000.0
8;15042;PE;FRAME FS813 36, AFT LOWER PANEL;programme_2;code_filiere_6;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;A9;P2_MSN1;P0;C;2.0;144-005;B0BAMS516003K4-09;fournisseur_20;supplier_20;1;Speedshop;2;48.1282840237;2;Stock Available;Stock disponible;supplier_12;fournisseur_12;C00;False;False;2.0;Speedshop;25.0;30.0;0.128320287;0.071348272;50.0;60.0;0.128320287;0.029063035;devise_2;-42;1397174400000000000;1398297600000000000;1397606400000000000;1399593600000000000;1401408000000000000;1401235200000000000;1401408000000000000;1401408000000000000;1401926400000000000;1397779200000000000;4752000.0
9;15042;PE;FRAME FS813 36, AFT LOWER PANEL;programme_2;code_filiere_6;1.0;magasin_13;False;False;famille_code_filiere_4;BAMS516-003;BAMS516-003;A9;P2_MSN1;P0;C;2.0;144-005;B0BAMS516003K4-09;fournisseur_12;supplier_12;2;Speedshop;1;25.0;1;Stock Available;Stock disponible;supplier_12;fournisseur_12;C00;False;False;2.0;Speedshop;25.0;30.0;0.128320287;0.071348272;50.0;60.0;0.128320287;0.029063035;devise_2;-154;1397174400000000000;1398297600000000000;1397606400000000000;1399593600000000000;1410739200000000000;1411689600000000000;1411516800000000000;1401235200000000000;1411603200000000000;1397779200000000000;14428800.0
