;id_reference;type_reference;designation;programme;code_filiere;coeff_avion;magasin;livrable;constituant;famille_code_filiere;norm_mat_inge;norm_mat_fab;indice_manufacturing;avion_impacte_pp;priorite_pp;indice_client_pp;classe_piece_ref_pp;procedes_speciaux_ind;cms_mat_pp;fournisseur_cmde;supplier_cmde;rang_appro;type_cycle;quantite_commande;cycle_negocie;quantite_receptionnee;etat_reference;etat_reference.1;supplier_achat;fournisseur_achat;indice_client.1;autonomie_matiere;autonomie_quincaillerie;quantite_FAI;type_cycle.1;cycle_fil_rouge_1ere_commande;cycle_fil_rouge_recommande;NRC_fil_rouge_total;RC_fil_rouge;cycle_standard_1ere_commande;cycle_standard_recommande;NRC_standard_total;RC_standard;devise;lag_time;date_reception_OMP_new;date_besoin_client_new;date_transmission_proc_new;date_emission_commande_new;date_livraison_contractuelle_new;date_livraison_previsionnelle_S_new;date_reception_effective_new;date_livraison_contractuelle_initiale_new;date_liberation_new;date_affectation_new
0;15038;0;567;2;5;1.0;4;False;False;4;47;47;46;2;1;6;2.0;1;51;21;21;1;1;5;20.0;5;4;4;24;24;7;0;0;5.0;1;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;2;-84;39;29;43;12;27;10;11;40;29;30
1;15038;0;567;2;5;1.0;4;False;False;4;47;47;46;2;1;6;2.0;1;51;21;21;1;1;5;20.0;5;4;4;24;24;7;0;0;5.0;1;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;2;-84;39;29;43;34;49;27;39;57;29;30
2;15039;0;567;2;5;1.0;4;False;False;4;47;47;46;2;1;6;2.0;1;51;21;21;1;1;5;20.0;5;4;4;24;24;7;0;0;5.0;1;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;2;-90;39;29;43;12;27;11;12;40;34;30
3;15039;0;567;2;5;1.0;4;False;False;4;47;47;46;2;1;6;2.0;1;51;21;21;1;1;5;20.0;5;4;4;24;24;7;0;0;5.0;1;20.0;20.0;0.030601067;0.029895457;40.0;40.0;0.020400661;0.019930405;2;-90;39;29;43;34;49;27;45;57;34;30
4;15042;0;704;2;26;1.0;4;False;False;4;47;47;31;2;1;6;2.0;2;44;2;2;1;1;2;25.0;1;4;4;3;3;7;0;0;2.0;1;25.0;30.0;0.128320287;0.071348272;50.0;60.0;0.128320287;0.029063035;2;-54;84;58;92;54;79;77;85;90;70;65
5;15042;0;704;2;26;1.0;4;False;False;4;47;47;31;2;1;6;2.0;2;44;2;2;2;1;1;25.0;1;4;4;12;12;7;0;0;2.0;1;30.0;30.0;0.126165261;0.018536847;60.0;60.0;0.126165261;0.018536847;2;-154;84;58;92;54;146;150;161;90;143;65
6;15042;0;704;2;26;1.0;4;False;False;4;47;47;31;2;1;6;2.0;2;44;2;2;1;1;2;25.0;1;4;4;12;12;7;0;0;2.0;1;30.0;30.0;0.126165261;0.018536847;60.0;60.0;0.126165261;0.018536847;2;-54;84;58;92;54;79;77;85;90;70;65
7;15042;0;704;2;26;1.0;4;False;False;4;47;47;31;2;1;6;2.0;2;44;11;11;1;1;2;48.1282840237;2;4;4;12;12;7;0;0;2.0;1;30.0;30.0;0.126165261;0.018536847;60.0;60.0;0.126165261;0.018536847;2;-42;84;58;92;54;80;63;72;91;61;65
8;15042;0;704;2;26;1.0;4;False;False;4;47;47;31;2;1;6;2.0;2;44;11;11;1;1;2;48.1282840237;2;4;4;3;3;7;0;0;2.0;1;25.0;30.0;0.128320287;0.071348272;50.0;60.0;0.128320287;0.029063035;2;-42;84;58;92;54;80;63;72;91;61;65
9;15042;0;704;2;26;1.0;4;False;False;4;47;47;31;2;1;6;2.0;2;44;2;2;2;1;1;25.0;1;4;4;3;3;7;0;0;2.0;1;25.0;30.0;0.128320287;0.071348272;50.0;60.0;0.128320287;0.029063035;2;-154;84;58;92;54;146;150;161;90;143;65
