,Unnamed: 0,id_reference,type_reference,designation,programme,code_filiere,coeff_avion,magasin,livrable,constituant,famille_code_filiere,norm_mat_inge,norm_mat_fab,indice_manufacturing,avion_impacte_pp,priorite_pp,indice_client_pp,classe_piece_ref_pp,procedes_speciaux_ind,cms_mat_pp,fournisseur_cmde,supplier_cmde,rang_appro,type_cycle,quantite_commande,cycle_negocie,quantite_receptionnee,etat_reference,etat_reference.1,supplier_achat,fournisseur_achat,indice_client.1,autonomie_matiere,autonomie_quincaillerie,quantite_FAI,type_cycle.1,cycle_fil_rouge_1ere_commande,cycle_fil_rouge_recommande,NRC_fil_rouge_total,RC_fil_rouge,cycle_standard_1ere_commande,cycle_standard_recommande,NRC_standard_total,RC_standard,devise,lag_time,date_besoin_client_new,date_transmission_proc_new,date_emission_commande_new,date_livraison_contractuelle_new,date_livraison_previsionnelle_S_new,date_reception_effective_new,date_livraison_contractuelle_initiale_new,date_affectation_new,total_cycle_duration_new,total_cycle_duration_predict
2815,2816,30046,1,1187,2,3,1.0,5,True,False,4,47,47,3,8,2,4,2.0,113,54,5,5,1,1,4,80.0,1,4,4,3,3,2,2,1,5.0,2,60.0,70.0,0.217175708,0.087597179,120.0,140.0,0.176037734,0.059447502,2,-172,187,366,226,339,408,430,325,241,201.0,209.532838605
516,516,15866,0,153,2,9,1.0,4,False,False,3,37,37,25,2,1,1,2.0,2,23,2,2,1,2,2,30.0,1,4,4,3,3,2,1,1,2.0,2,35.0,35.0,0.06793427,0.032184707,70.0,70.0,0.06793427,0.032184691,2,-59,52,58,36,75,76,84,63,40,114.0,128.096942377
2733,2734,29809,1,1067,2,9,1.0,5,True,False,3,41,41,3,13,3,4,2.0,242,29,5,5,2,2,4,70.0,1,4,4,3,3,2,2,1,5.0,2,60.0,65.0,0.037092111,0.020096149,120.0,130.0,0.028532393,0.015628303,2,-56,251,366,234,325,405,427,324,248,204.0,227.77369568
3724,3739,34850,0,741,2,26,1.0,9,True,False,4,47,47,32,8,2,2,2.0,0,37,10,10,3,1,1,25.0,1,4,4,11,11,2,2,1,4.0,1,25.0,20.0,0.024398827,0.021215249,50.0,40.0,0.018768328,0.015155425,1,-154,226,384,288,381,446,468,340,297,160.0,139.284979714
2035,2036,26142,0,1138,2,1,20.0,11,True,False,1,21,21,32,8,4,4,3.0,29,103,3,3,1,2,90,47.0,90,4,4,4,4,5,2,1,100.0,2,37.0,25.0,0.018475073,0.000687292,74.0,50.0,0.011096774,0.000421203,1,-151,222,384,285,423,440,462,362,299,380.0,247.771559572
1286,1286,17776,0,180,2,1,2.0,5,False,False,1,22,22,14,2,2,1,2.0,1,124,21,21,1,1,8,20.0,5,4,4,24,24,2,1,1,8.0,1,20.0,20.0,0.009347756,0.001226503,40.0,40.0,0.006231837,0.000817627,2,-27,128,200,138,194,189,208,179,149,43.0,65.5171696933
296,296,15563,0,962,2,5,1.0,4,False,False,4,19,19,55,2,1,1,2.0,1,93,2,2,1,1,5,36.0,5,4,4,3,3,2,1,1,5.0,1,36.0,36.0,0.056626988,0.008430945,72.0,72.0,0.056626988,0.003735932,2,5,52,6,3,24,20,31,10,5,162.0,111.215878984
2533,2534,29188,0,541,2,12,1.0,5,True,False,4,47,47,3,8,3,2,2.0,218,38,5,5,1,2,5,60.0,1,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.035854198,0.001372242,100.0,110.0,0.024078925,0.000809759,2,-21,201,305,214,309,321,344,285,226,104.0,123.697174693
619,619,16078,0,620,2,26,1.0,5,False,False,4,47,47,30,2,1,1,2.0,2,38,2,2,2,1,3,25.0,3,4,4,3,3,2,1,1,5.0,1,25.0,30.0,0.128320287,0.083389165,50.0,60.0,0.128320287,0.041103856,2,-25,111,80,51,64,74,135,77,55,190.0,171.120837142
4208,4224,39549,0,292,2,26,1.0,11,True,False,4,47,47,32,4,1,2,2.0,221,45,10,10,1,2,3,45.0,3,4,4,11,11,2,2,1,5.0,2,25.0,20.0,0.008831455,0.017616111,50.0,40.0,0.006793427,0.013450985,2,-91,298,451,354,475,498,535,432,353,93.0,105.910309852
2439,2440,28532,0,137,2,7,1.0,5,True,False,4,19,19,3,8,2,2,2.0,107,88,5,5,1,2,5,60.0,1,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.045138548,0.002587658,100.0,110.0,0.033061345,0.001657408,2,-70,223,289,205,366,378,401,269,219,209.0,212.881535977
